team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Bemidji Lumberjacks,Des Moines Derecho,10/6/2023,6:00 PM,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,6518996d67109c0008c1224a,65189ae63be329000824ea75,1,
Bloomington Maulers,Fargo Steelhawks,10/6/2023,6:45 PM,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,65189b8067109c0008c12250,65189ae63be329000824ea77,1,
Hibbing Rangers,Omaha Buffalo,10/6/2023,7:30 PM,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,65189bb767109c0008c12253,65189ae63be329000824ea78,1,
Rochester Rhythm,Chicago Jungle,10/6/2023,8:15 PM,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,65189a3567109c0008c1224d,65189ae63be329000824ea76,1,
Green Bay Knights,Duluth Superiors,10/6/2023,6:45 PM,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,1,Y
St. Paul Senators,Burnsville Inferno,10/6/2023,6:45 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,1,Y
St. Cloud Flyers,Brainerd Victory,10/6/2023,7:30 PM,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,6205a3b516904c00096af922,620517b60160ee0009244afc,1,Y
Minneapolis Miracles,Mankato Atlas,10/6/2023,7:30 PM,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,6205a37216904c00096af91f,620518160160ee0009244b00,1,Y
St. Paul Senators,Mankato Atlas,10/13/2023,6:00 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,6205a37216904c00096af91f,620518160160ee0009244b00,2,
St. Cloud Flyers,Minneapolis Miracles,10/13/2023,6:45 PM,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,2,
Des Moines Derecho,Duluth Superiors,10/13/2023,7:30 PM,6518996d67109c0008c1224a,65189ae63be329000824ea75,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,2,
