team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Bemidji Lumberjacks,Des Moines Derecho,10/7/2023,3:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,6518995c67109c0008c12249,65189ae63be329000824ea75,1,
St. Paul Senators,Fargo Steelhawks,10/7/2023,3:45 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,65189b7967109c0008c1224f,65189ae63be329000824ea77,1,
Green Bay Knights,Duluth Superiors,10/7/2023,4:30 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,1,
Rochester Rhythm,Chicago Jungle,10/7/2023,5:15 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,65189a3e67109c0008c1224e,65189ae63be329000824ea76,1,
St. Cloud Flyers,Brainerd Victory,10/7/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,6205a3ba16904c00096af923,620517b60160ee0009244afc,1,Y
Bloomington Maulers,Mankato Atlas,10/7/2023,4:30 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,6205a36816904c00096af91e,620518160160ee0009244b00,1,Y
Rochester Rhythm,Mankato Atlas,10/14/2023,3:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,6205a36816904c00096af91e,620518160160ee0009244b00,2,
St. Cloud Flyers,Bloomington Maulers,10/14/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,2,
Des Moines Derecho,Duluth Superiors,10/14/2023,4:30 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,2,
Green Bay Knights,Brainerd Victory,10/14/2023,5:15 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,6205a3ba16904c00096af923,620517b60160ee0009244afc,2,
St. Paul Senators,Mankato Atlas,10/14/2023,3:45 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,6205a36816904c00096af91e,620518160160ee0009244b00,2,Y
Fargo Steelhawks,Chicago Jungle,10/14/2023,3:45 PM,65189b7967109c0008c1224f,65189ae63be329000824ea77,65189a3e67109c0008c1224e,65189ae63be329000824ea76,2,Y
Bemidji Lumberjacks,Fargo Steelhawks,10/14/2023,4:30 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,65189b7967109c0008c1224f,65189ae63be329000824ea77,2,Y
Green Bay Knights,Bloomington Maulers,10/14/2023,4:30 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,2,Y
St. Paul Senators,St. Cloud Flyers,10/14/2023,4:30 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,2,Y
Bemidji Lumberjacks,Chicago Jungle,10/21/2023,3:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,65189a3e67109c0008c1224e,65189ae63be329000824ea76,3,
Fargo Steelhawks,Mankato Atlas,10/21/2023,3:45 PM,65189b7967109c0008c1224f,65189ae63be329000824ea77,6205a36816904c00096af91e,620518160160ee0009244b00,3,
Rochester Rhythm,Green Bay Knights,10/21/2023,4:30 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,3,
Brainerd Victory,Des Moines Derecho,10/21/2023,5:15 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,6518995c67109c0008c12249,65189ae63be329000824ea75,3,
St. Cloud Flyers,Rochester Rhythm,10/21/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,3,Y
St. Paul Senators,Green Bay Knights,10/21/2023,3:45 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,3,Y
Des Moines Derecho,Bloomington Maulers,10/21/2023,4:30 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,3,Y
Bemidji Lumberjacks,Duluth Superiors,10/21/2023,4:30 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,3,Y
Fargo Steelhawks,Green Bay Knights,10/28/2023,3:00 PM,65189b7967109c0008c1224f,65189ae63be329000824ea77,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,4,
Des Moines Derecho,St. Paul Senators,10/28/2023,3:45 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,4,
Chicago Jungle,St. Cloud Flyers,10/28/2023,4:30 PM,65189a3e67109c0008c1224e,65189ae63be329000824ea76,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,4,
Duluth Superiors,Bloomington Maulers,10/28/2023,5:15 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,4,
Mankato Atlas,Chicago Jungle,10/28/2023,3:45 PM,6205a36816904c00096af91e,620518160160ee0009244b00,65189a3e67109c0008c1224e,65189ae63be329000824ea76,4,Y
St. Cloud Flyers,Fargo Steelhawks,10/28/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,65189b7967109c0008c1224f,65189ae63be329000824ea77,4,Y
Bemidji Lumberjacks,Brainerd Victory,10/28/2023,3:45 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,6205a3ba16904c00096af923,620517b60160ee0009244afc,4,Y
Des Moines Derecho,Rochester Rhythm,10/28/2023,4:30 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,4,Y
Brainerd Victory,Duluth Superiors,10/28/2023,4:30 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,4,Y
Bemidji Lumberjacks,Bloomington Maulers,11/4/2023,3:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,5,
Duluth Superiors,Rochester Rhythm,11/4/2023,3:45 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5,
Mankato Atlas,St. Cloud Flyers,11/4/2023,4:30 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5,
Brainerd Victory,St. Paul Senators,11/4/2023,5:15 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5,
Duluth Superiors,St. Paul Senators,11/4/2023,3:45 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5,Y
Bloomington Maulers,Brainerd Victory,11/4/2023,3:45 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,6205a3ba16904c00096af923,620517b60160ee0009244afc,5,Y
Mankato Atlas,Bemidji Lumberjacks,11/4/2023,3:45 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5,Y
Fargo Steelhawks,Des Moines Derecho,11/4/2023,4:30 PM,65189b7967109c0008c1224f,65189ae63be329000824ea77,6518995c67109c0008c12249,65189ae63be329000824ea75,5,Y
Green Bay Knights,Chicago Jungle,11/4/2023,4:30 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,65189a3e67109c0008c1224e,65189ae63be329000824ea76,5,Y
Duluth Superiors,Fargo Steelhawks,11/11/2023,3:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,65189b7967109c0008c1224f,65189ae63be329000824ea77,6,
Brainerd Victory,Rochester Rhythm,11/11/2023,3:45 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,6,
St. Cloud Flyers,Green Bay Knights,11/11/2023,4:30 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,6,
St. Paul Senators,Bloomington Maulers,11/11/2023,5:15 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,6,
Mankato Atlas,Green Bay Knights,11/11/2023,3:45 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,6,Y
Des Moines Derecho,Chicago Jungle,11/11/2023,3:45 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,65189a3e67109c0008c1224e,65189ae63be329000824ea76,6,Y
Bloomington Maulers,Rochester Rhythm,11/11/2023,4:30 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,6,Y
St. Paul Senators,Bemidji Lumberjacks,11/11/2023,4:30 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,6,Y
Bemidji Lumberjacks,Rochester Rhythm,11/18/2023,3:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,7,
Bloomington Maulers,Fargo Steelhawks,11/18/2023,3:45 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,65189b7967109c0008c1224f,65189ae63be329000824ea77,7,
Des Moines Derecho,Mankato Atlas,11/18/2023,4:30 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,6205a36816904c00096af91e,620518160160ee0009244b00,7,
Brainerd Victory,Chicago Jungle,11/18/2023,5:15 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,65189a3e67109c0008c1224e,65189ae63be329000824ea76,7,
St. Cloud Flyers,Des Moines Derecho,11/18/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,6518995c67109c0008c12249,65189ae63be329000824ea75,7,Y
Green Bay Knights,Bemidji Lumberjacks,11/18/2023,3:45 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,7,Y
Rochester Rhythm,St. Paul Senators,11/18/2023,3:45 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,7,Y
Fargo Steelhawks,Brainerd Victory,11/18/2023,4:30 PM,65189b7967109c0008c1224f,65189ae63be329000824ea77,6205a3ba16904c00096af923,620517b60160ee0009244afc,7,Y
Chicago Jungle,Duluth Superiors,11/18/2023,4:30 PM,65189a3e67109c0008c1224e,65189ae63be329000824ea76,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,7,Y
Des Moines Derecho,Green Bay Knights,12/2/2023,3:00 PM,6518995c67109c0008c12249,65189ae63be329000824ea75,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,8,
Mankato Atlas,Brainerd Victory,12/2/2023,3:45 PM,6205a36816904c00096af91e,620518160160ee0009244b00,6205a3ba16904c00096af923,620517b60160ee0009244afc,8,
Bemidji Lumberjacks,St. Cloud Flyers,12/2/2023,4:30 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,8,
Chicago Jungle,St. Paul Senators,12/2/2023,5:15 PM,65189a3e67109c0008c1224e,65189ae63be329000824ea76,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,8,
St. Cloud Flyers,Duluth Superiors,12/2/2023,3:45 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,8,Y
Rochester Rhythm,Fargo Steelhawks,12/2/2023,3:45 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,65189b7967109c0008c1224f,65189ae63be329000824ea77,8,Y
Duluth Superiors,Mankato Atlas,12/2/2023,4:30 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,6205a36816904c00096af91e,620518160160ee0009244b00,8,Y
Bloomington Maulers,Chicago Jungle,12/2/2023,4:30 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,65189a3e67109c0008c1224e,65189ae63be329000824ea76,8,Y
