team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Bemidji Lumberjacks,Des Moines Derecho,10/5/2023,6:00 PM,600c98b2eedc0d0008211466,600fac63be0bbe0008ffddcc,651899f567109c0008c1224b,65189ae63be329000824ea75,1,
Bloomington Maulers,Fargo Steelhawks,10/5/2023,6:45 PM,600c98b32c38930008d9cbd9,5ec9358e8c0dd900074685c5,65189b8967109c0008c12251,65189ae63be329000824ea77,1,
Hibbing Rangers,Omaha Buffalo,10/5/2023,7:30 PM,600c8fc9f87c0c000826a31e,600fac63be0bbe0008ffddc9,65189bac67109c0008c12252,65189ae63be329000824ea78,1,
Rochester Rhythm,Chicago Jungle,10/5/2023,8:15 PM,600c98b22c38930008d9cbd5,600fac63be0bbe0008ffddc8,65189a2c67109c0008c1224c,65189ae63be329000824ea76,1,
Green Bay Knights,Duluth Superiors,10/5/2023,6:45 PM,600c98b22c38930008d9cbd6,600fac63be0bbe0008ffddc6,600c98b3eedc0d0008211469,600fac63be0bbe0008ffddc5,1,Y
St. Paul Senators,Burnsville Inferno,10/5/2023,6:45 PM,600c98b32c38930008d9cbd8,600fac63be0bbe0008ffddc4,600c98b32c38930008d9cbd7,600fac63be0bbe0008ffddc7,1,Y
St. Cloud Flyers,Brainerd Victory,10/5/2023,7:30 PM,600c98b2eedc0d0008211467,600fac63be0bbe0008ffddca,6205a3a716904c00096af921,620517b60160ee0009244afc,1,Y
Minneapolis Miracles,Mankato Atlas,10/5/2023,7:30 PM,600c98b3eedc0d0008211468,600fac63be0bbe0008ffddc3,6205a37d16904c00096af920,620518160160ee0009244b00,1,Y
St. Paul Senators,Mankato Atlas,10/12/2023,6:00 PM,600c98b32c38930008d9cbd8,600fac63be0bbe0008ffddc4,6205a37d16904c00096af920,620518160160ee0009244b00,2,
St. Cloud Flyers,Minneapolis Miracles,10/12/2023,6:45 PM,600c98b2eedc0d0008211467,600fac63be0bbe0008ffddca,600c98b3eedc0d0008211468,600fac63be0bbe0008ffddc3,2,
Des Moines Derecho,Duluth Superiors,10/12/2023,7:30 PM,651899f567109c0008c1224b,65189ae63be329000824ea75,600c98b3eedc0d0008211469,600fac63be0bbe0008ffddc5,2,
Green Bay Knights,Brainerd Victory,10/12/2023,8:15 PM,600c98b22c38930008d9cbd6,600fac63be0bbe0008ffddc6,6205a3a716904c00096af921,620517b60160ee0009244afc,2,
Rochester Rhythm,Burnsville Inferno,10/12/2023,6:00 PM,600c98b22c38930008d9cbd5,600fac63be0bbe0008ffddc8,600c98b32c38930008d9cbd7,600fac63be0bbe0008ffddc7,2,Y
Chicago Jungle,Bloomington Maulers,10/12/2023,6:00 PM,65189a2c67109c0008c1224c,65189ae63be329000824ea76,600c98b32c38930008d9cbd9,5ec9358e8c0dd900074685c5,2,Y
Duluth Superiors,Hibbing Rangers,10/12/2023,6:00 PM,600c98b3eedc0d0008211469,600fac63be0bbe0008ffddc5,600c8fc9f87c0c000826a31e,600fac63be0bbe0008ffddc9,2,Y
Omaha Buffalo,Des Moines Derecho,10/12/2023,6:00 PM,65189bac67109c0008c12252,65189ae63be329000824ea78,651899f567109c0008c1224b,65189ae63be329000824ea75,2,Y
Hibbing Rangers,Brainerd Victory,10/12/2023,6:45 PM,600c8fc9f87c0c000826a31e,600fac63be0bbe0008ffddc9,6205a3a716904c00096af921,620517b60160ee0009244afc,2,Y
Rochester Rhythm,Mankato Atlas,10/12/2023,6:45 PM,600c98b22c38930008d9cbd5,600fac63be0bbe0008ffddc8,6205a37d16904c00096af920,620518160160ee0009244b00,2,Y
Bemidji Lumberjacks,Fargo Steelhawks,10/12/2023,6:45 PM,600c98b2eedc0d0008211466,600fac63be0bbe0008ffddcc,65189b8967109c0008c12251,65189ae63be329000824ea77,2,Y
Bloomington Maulers,Burnsville Inferno,10/12/2023,6:45 PM,600c98b32c38930008d9cbd9,5ec9358e8c0dd900074685c5,600c98b32c38930008d9cbd7,600fac63be0bbe0008ffddc7,2,Y
Omaha Buffalo,Bemidji Lumberjacks,10/12/2023,7:30 PM,65189bac67109c0008c12252,65189ae63be329000824ea78,600c98b2eedc0d0008211466,600fac63be0bbe0008ffddcc,2,Y
Fargo Steelhawks,Chicago Jungle,10/12/2023,7:30 PM,65189b8967109c0008c12251,65189ae63be329000824ea77,65189a2c67109c0008c1224c,65189ae63be329000824ea76,2,Y
Green Bay Knights,Minneapolis Miracles,10/12/2023,7:30 PM,600c98b22c38930008d9cbd6,600fac63be0bbe0008ffddc6,600c98b3eedc0d0008211468,600fac63be0bbe0008ffddc3,2,Y
St. Paul Senators,St. Cloud Flyers,10/12/2023,7:30 PM,600c98b32c38930008d9cbd8,600fac63be0bbe0008ffddc4,600c98b2eedc0d0008211467,600fac63be0bbe0008ffddca,2,Y
Bemidji Lumberjacks,Chicago Jungle,10/19/2023,6:00 PM,600c98b2eedc0d0008211466,600fac63be0bbe0008ffddcc,65189a2c67109c0008c1224c,65189ae63be329000824ea76,3,
Mankato Atlas,Bloomington Maulers,10/19/2023,6:45 PM,6205a37d16904c00096af920,620518160160ee0009244b00,600c98b32c38930008d9cbd9,5ec9358e8c0dd900074685c5,3,
