team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Burnsville Inferno,Rochester Rhythm,3/11/2023,6:00:00 PM,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,1,
St. Cloud Flyers,Minneapolis Miracles,3/11/2023,6:45:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,1,
Duluth Superiors,Hibbing Rangers,3/11/2023,7:30:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,1,
Mankato Atlas,Brainerd Victory,3/11/2023,8:15:00 PM,6205a36816904c00096af91e,620518160160ee0009244b00,6205a3ba16904c00096af923,620517b60160ee0009244afc,1,
Bloomington Maulers,Minnetonka Barons,3/11/2023,9:00:00 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,1,Y
Bemidji Lumberjacks,St. Paul Senators,3/11/2023,9:45:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,1,Y
St. Cloud Flyers,Duluth Superiors,3/18/2023,6:00:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,2,
Minnetonka Barons,St. Paul Senators,3/18/2023,6:45:00 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,2,
Hibbing Rangers,Bemidji Lumberjacks,3/18/2023,7:30:00 PM,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,2,
Rochester Rhythm,Bloomington Maulers,3/18/2023,8:15:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,2,
Minneapolis Miracles,Mankato Atlas,3/18/2023,9:00:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,6205a36816904c00096af91e,620518160160ee0009244b00,2,Y
Burnsville Inferno,Brainerd Victory,3/18/2023,9:45:00 PM,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,6205a3ba16904c00096af923,620517b60160ee0009244afc,2,Y
Bloomington Maulers,Duluth Superiors,3/25/2023,6:00:00 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,3,
Brainerd Victory,Hibbing Rangers,3/25/2023,6:45:00 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,3,
Minnetonka Barons,Burnsville Inferno,3/25/2023,7:30:00 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,3,
St. Paul Senators,Minneapolis Miracles,3/25/2023,8:15:00 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,3,
Mankato Atlas,St. Cloud Flyers,3/25/2023,9:00:00 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,3,Y
Bemidji Lumberjacks,Rochester Rhythm,3/25/2023,9:45:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,3,Y
Bloomington Maulers,Mankato Atlas,4/1/2023,6:00:00 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,6205a36816904c00096af91e,620518160160ee0009244b00,4,
Minneapolis Miracles,Minnetonka Barons,4/1/2023,6:45:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,4,
Rochester Rhythm,Brainerd Victory,4/1/2023,7:30:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,6205a3ba16904c00096af923,620517b60160ee0009244afc,4,
St. Cloud Flyers,St. Paul Senators,4/1/2023,8:15:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,4,
Duluth Superiors,Bemidji Lumberjacks,4/1/2023,9:00:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,4,Y
Burnsville Inferno,Hibbing Rangers,4/1/2023,9:45:00 PM,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,4,Y
Hibbing Rangers,Rochester Rhythm,4/15/2023,6:00:00 PM,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5,
Minneapolis Miracles,Burnsville Inferno,4/15/2023,6:45:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,5,
Brainerd Victory,Duluth Superiors,4/15/2023,7:30:00 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5,
